Level_0,Level_1,Level_2,Level_3,Level_4,Level_5,Level_6,Level_7,Type,Column,Expression,Accuracy,Description,Rank,Proximity
Корневой узел,,,,,,,,C,Описание / Description,,,,0,pxm_001
Корневой узел,Действия/задачи,,,,,,,G,Описание / Description,,,,0,pxm_001
Корневой узел,Действия/задачи,3D моделирование,,,,,,?,Описание / Description,"""3D моделирование"" or ""3D-моделирование""",,,0,pxm_001
Корневой узел,Действия/задачи,Адаптация моделей и методик к новым контекстам,,,,,,C,Описание / Description,"""Адаптация моделей и методик к новым контекстам""
or
snear(4, singleroot(адаптация), модель or методика)
or ""Adapting models and techniques to new contexts"" or  ""адаптирование новых технологий"" 
or phrase(4,""адаптирование"" or ""адаптация"",""новые"",""технологии"") 
or phrase(4,""adopting"",""new"",""technologies"") 
or phrase(4,""adapt"",""new"",""technologies"") 
or phrase(4,""adapting"",""emerging"",""technologies"") 
or phrase(4,""adapt"",""emerging"",""technologies"")",,,0,pxm_001
Корневой узел,Действия/задачи,Адаптация моделей и методик к новым контекстам,Адаптирование новых технологий,,,,,?,Описание / Description,"""адаптирование новых технологий"" 
or phrase(4,""адаптирование"" or ""адаптация"",""новые"",""технологии"") 
or phrase(4,""adopting"",""new"",""technologies"") 
or phrase(4,""adapt"",""new"",""technologies"") 
or phrase(4,""adapting"",""emerging"",""technologies"") 
or phrase(4,""adapt"",""emerging"",""technologies"")",,,0,pxm_001
Корневой узел,Действия/задачи,Анализ больших данных,,,,,,?,Описание / Description,"""Анализ больших данных"" 

or phrase(4,""анализ"" or ""анализировать"" or ""аналитика"" or ""аналитик"",""большие данные"" 
or ""BigData"" or ""Big Data"" or ""датасет"" or phrase(""большой объем"" or ""массив"" 
or ""количество"",""данные"")) 
or ""data-аналитик"" or ""data аналитик"" or ""дата аналитик"" or ""data analyst"" 
or ""data-analyst"" or phrase(2,""analyse"",""vast"",""amounts"",""of"",""data"") 
or phrase(2,""analyze"",""BigData"" or ""Big Data"") 
or phrase(2,""analysis"",""of"",""large"",""data"",""volumes"") 
or phrase(2,""analysis"",of,""data set"" or ""datasets"") 
or phrase(2,""analysis"",of,""massive-scale"",""data"") 
or phrase(2,""set"" or ""body"",""of"",""data"") 
or phrase(2,""analysis"" or ""analyse"" or ""analytics"" or ""analyze"",""BigData"" or ""Big Data"") 
or phrase(2,""BigData"" or ""Big Data"",""analysis"") 
or phrase(2,""analysis"" or ""analyse"" or ""analytics"" or ""analyze"",""large"" or ""high"",
""amount"" or ""volume"",""of"",""data"") 
or phrase(2,""screening"",""datasets"" or ""data set"")",,,0,pxm_001
Корневой узел,Действия/задачи,Анализ системы ценностей,,,,,,?,Описание / Description,"""Анализ системы ценностей"" or ""personal value assessment""
or phrase(3,анализ, система, ценность)",,,0,pxm_001
Корневой узел,Действия/задачи,Анализ цифрового следа,,,,,,?,Описание / Description,"""Интерпретация цифрового следа"" 
or ""Анализ цифрового следа"" 
or ""Analysis of Digital Footprints""
or phrase(0, анализ|обработка|анализировать|обрабатывать|интерпретировать, 
""цифровой след"")",,,0,pxm_001
Корневой узел,Действия/задачи,Визуализация данных,,,,,,?,Описание / Description,"""Gephi"" or ""Tableau"" or ""Tableu"" or ""Orange"" 
or snear(3,singleroot(""визуализация""), ""данных"" or ""информация"" or ""результаты"" or 
""взаимосвязи"") 
or snear(singleroot(""работать""), ""с"",""дизайн"") 
or phrase(""инструменты"" or ""графическая"", ""визуализация"") 
or phrase(2,""data"",""visualisation"")",,,0,pxm_001
Корневой узел,Действия/задачи,Детектирование опасных показателей в медицинских экспериментах в Jupiter,,,,,,?,Описание / Description,"""Детектирование опасных показателей в медицинских экспериментах в Jupiter""",,,0,pxm_001
